"county_state","cum.case.num"
"Abbeville County_SC",640
"Acadia Parish_LA",2993
"Accomack County_VA",1188
"Ada County_ID",13672
"Adair County_IA",77
"Adair County_KY",336
"Adair County_MO",373
"Adair County_OK",656
"Adams County_CO",9900
"Adams County_IA",42
"Adams County_ID",29
"Adams County_IL",1267
"Adams County_IN",576
"Adams County_MS",971
"Adams County_ND",27
"Adams County_NE",607
"Adams County_OH",158
"Adams County_PA",885
"Adams County_WA",877
"Adams County_WI",293
"Addison County_VT",111
"Aiken County_SC",4399
"Aitkin County_MN",101
"Alachua County_FL",8570
"Alamance County_NC",4155
"Alameda County_CA",21746
"Alamosa County_CO",252
"Albany County_NY",3201
"Albany County_WY",720
"Albemarle County_VA",1383
"Alcona County_MI",49
"Alcorn County_MS",860
"Aleutians East Borough_AK",5
"Aleutians West Census Area_AK",8
"Alexander County_IL",91
"Alexander County_NC",557
"Alexandria City_VA",3927
"Alfalfa County_OK",79
"Alger County_MI",27
"Allamakee County_IA",275
"Allegan County_MI",834
"Allegany County_MD",495
"Allegany County_NY",125
"Alleghany County_NC",246
"Alleghany County_VA",81
"Allegheny County_PA",12777
"Allen County_IN",6692
"Allen County_KS",76
"Allen County_KY",400
"Allen County_OH",1567
"Allen Parish_LA",1696
"Allendale County_SC",403
"Alpena County_MI",146
"Alpine County_CA",2
"Amador County_CA",259
"Amelia County_VA",125
"Amherst County_VA",428
"Amite County_MS",355
"Anderson County_KS",84
"Anderson County_KY",179
"Anderson County_SC",4757
"Anderson County_TN",1299
"Anderson County_TX",2859
"Andrew County_MO",298
"Andrews County_TX",457
"Androscoggin County_ME",771
"Angelina County_TX",2189
"Anne Arundel County_MD",10429
"Anoka County_MN",6729
"Anson County_NC",647
"Antelope County_NE",102
"Antrim County_MI",71
"Apache County_AZ",3581
"Appanoose County_IA",155
"Appling County_GA",1067
"Appomattox County_VA",224
"Aransas County_TX",335
"Arapahoe County_CO",9750
"Archer County_TX",88
"Archuleta County_CO",54
"Arenac County_MI",76
"Arkansas County_AR",460
"Arlington County_VA",4057
"Armstrong County_PA",471
"Armstrong County_TX",13
"Aroostook County_ME",49
"Arthur County_NE",1
"Ascension Parish_LA",3816
"Ashe County_NC",294
"Ashland County_OH",302
"Ashland County_WI",169
